type_of_property,price,bedrooms,energy_class,surface_of_the_plot,living_room_surface,number_of_frontages,building_condition,bathrooms,toilets,kitchen_type,heating_type
apartment,189000.0,2,B,0,0,2,Good,1,1,Semi equipped,Gas
apartment,224000.0,1,B,0,0,2,Good,1,1,Installed,Gas
apartment,319000.0,2,A,0,0,2,As new,1,0,0,Gas
apartment,515000.0,2,A,0,0,0,Good,2,1,Hyper equipped,Gas
apartment,245000.0,1,E,0,0,2,As new,2,1,0,Gas
apartment,445000.0,2,D,0,0,2,As new,2,2,0,0
apartment,270000.0,2,B,0,0,0,As new,1,0,0,Gas
apartment,235000.0,1,A,0,0,0,As new,1,0,0,Gas
apartment,349000.0,3,A,0,36,0,As new,2,2,Installed,Gas
apartment,279000.0,2,D,0,0,2,As new,1,0,0,0
apartment,375000.0,3,B,0,0,0,0,1,0,Installed,Gas
apartment,30.0,2,C,0,0,0,To be done up,1,1,Installed,Electric
apartment,195000.0,1,B,0,27,0,0,1,0,0,Electric
apartment,325000.0,1,B,0,22,0,0,1,1,0,Gas
apartment,231000.0,1,A,0,0,0,0,1,1,0,0
apartment,279950.0,2,A,0,0,0,0,1,1,0,0
apartment,308500.0,2,A,0,0,0,0,1,1,0,0
apartment,238500.0,1,A,0,0,0,0,1,1,0,0
apartment,277200.0,2,A,0,0,0,0,1,1,0,0
apartment,261450.0,2,A,0,0,0,0,1,1,0,0
apartment,210000.0,2,B,0,0,0,As new,1,1,0,0
apartment,179500.0,2,D,0,0,0,As new,1,1,Installed,Electric
apartment,169500.0,2,D,0,0,0,As new,1,1,Installed,Electric
apartment,299000.0,2,A,0,0,0,As new,1,1,Installed,Gas
apartment,239500.0,2,B,0,0,0,As new,0,1,Installed,Gas
apartment,340000.0,2,A,0,0,0,0,1,1,0,0
apartment,190000.0,1,B,0,0,0,As new,1,2,USA installed,Gas
apartment,385000.0,1,B,0,0,0,As new,1,0,0,Gas
apartment,550000.0,3,NS,0,39,0,0,1,1,USA installed,Gas
apartment,275000.0,2,C,0,0,0,As new,1,1,0,Gas
apartment,289000.0,1,B,0,0,0,0,1,0,Hyper equipped,0
apartment,279000.0,1,B,0,0,0,0,1,0,Hyper equipped,0
apartment,675000.0,2,C,0,0,0,0,1,0,0,0
apartment,389000.0,2,B,0,0,0,0,1,1,0,0
apartment,239000.0,2,C,0,0,0,0,1,1,0,0
apartment,150000.0,3,C,0,0,0,To renovate,2,0,0,Fuel oil
apartment,239000.0,3,B,0,0,0,0,0,0,0,0
apartment,625000.0,3,B,0,0,0,As new,3,1,Installed,Gas
apartment,279000.0,2,B,0,0,3,Good,1,1,Installed,Gas
apartment,350000.0,2,B,0,0,0,As new,0,1,0,0
apartment,220000.0,2,B,0,0,0,As new,0,1,0,0
apartment,280000.0,2,A,0,0,0,As new,1,1,0,0
apartment,309000.0,2,B,0,0,0,As new,1,1,Installed,0
apartment,225000.0,3,C,0,52,0,As new,1,1,Installed,Electric
apartment,235000.0,2,NS,0,0,0,0,1,0,0,0
apartment,409000.0,2,A,0,40,2,0,2,2,Installed,0
apartment,29000.0,4,B,0,0,4,Good,1,0,Installed,0
apartment,360000.0,2,E,0,24,3,Good,1,1,USA installed,Gas
apartment,279000.0,2,E,0,30,2,Good,1,1,Installed,Gas
apartment,250000.0,1,F,0,0,3,To be done up,1,2,0,0
apartment,349500.0,2,NS,0,40,2,0,1,2,Installed,Gas
apartment,279000.0,3,B,0,0,2,Good,1,1,Semi equipped,Gas
apartment,24000.0,2,A,0,43,4,0,1,1,USA hyper equipped,Gas
apartment,24000.0,3,A,0,33,4,0,2,2,USA hyper equipped,Gas
apartment,24000.0,2,A,0,30,4,0,1,1,USA hyper equipped,Gas
apartment,357000.0,2,C,0,0,0,To be done up,1,2,Not installed,Gas
apartment,165000.0,2,NS,0,0,2,0,1,1,Installed,0
apartment,128000.0,1,B,0,0,1,Good,1,1,Installed,Gas
apartment,229000.0,2,C,0,0,2,Good,0,1,Installed,0
apartment,125000.0,2,C,0,0,2,Good,1,1,0,Electric
apartment,259000.0,2,B,0,28,2,Good,0,0,Installed,0
apartment,145000.0,1,C,0,0,3,Good,1,1,Installed,Gas
apartment,425000.0,2,A,0,0,0,0,2,2,0,0
apartment,220000.0,2,C,0,25,0,To be done up,1,1,Installed,Gas
apartment,354500.0,3,NS,0,0,2,0,0,0,Installed,0
apartment,229000.0,2,C,0,28,2,Good,1,1,Installed,Gas
apartment,225000.0,3,D,0,40,2,Good,1,1,0,Electric
apartment,425000.0,3,A,0,0,3,0,1,2,Installed,Gas
apartment,219000.0,2,C,0,0,2,Just renovated,1,1,Installed,Gas
apartment,340000.0,2,B,0,36,3,0,1,1,Installed,Gas
apartment,285000.0,2,D,0,31,4,Good,1,1,Installed,Fuel oil
apartment,30000.0,1,E,0,23,3,0,1,1,Installed,Electric
apartment,275000.0,4,B,0,0,3,Good,2,1,Installed,Gas
apartment,318000.0,1,B,0,48,2,Good,1,1,Installed,0
apartment,280000.0,2,NS,0,0,4,As new,1,1,Installed,Gas
apartment,280000.0,2,NS,0,0,4,As new,0,0,0,0
apartment,300000.0,2,NS,0,0,4,As new,1,0,0,0
apartment,417000.0,2,NS,0,0,2,As new,0,0,0,0
apartment,250000.0,2,NS,0,0,4,As new,0,0,0,0
apartment,499000.0,2,NS,0,0,4,Good,0,0,0,0
apartment,229000.0,2,B,0,50,3,0,1,1,0,0
apartment,229000.0,2,B,0,50,3,0,1,1,0,0
apartment,385000.0,3,A,0,0,3,As new,0,1,0,Gas
apartment,269.0,2,NS,0,0,2,0,1,1,Installed,0
apartment,330000.0,1,C,0,40,2,0,2,2,Hyper equipped,Gas
apartment,330000.0,1,C,0,40,2,0,2,2,Hyper equipped,Gas
apartment,475000.0,1,NS,0,50,2,0,2,1,Hyper equipped,Gas
apartment,269000.0,3,F,0,30,3,0,1,2,Semi equipped,Gas
apartment,349000.0,1,F,0,30,2,Good,1,2,Semi equipped,Electric
apartment,280000.0,2,B,0,33,0,Good,1,1,Installed,Gas
apartment,350000.0,2,D,0,27,3,Good,2,1,Hyper equipped,0
apartment,340000.0,2,E,0,0,2,As new,1,1,USA hyper equipped,Electric
apartment,285000.0,3,E,0,27,2,To be done up,1,2,Not installed,Gas
apartment,260000.0,2,E,0,25,2,Good,1,1,Installed,Fuel oil
apartment,289000.0,1,G,0,22,0,Good,2,1,0,Gas
apartment,175000.0,1,D,0,40,4,Good,1,0,USA installed,Gas
apartment,170000.0,2,B,0,25,2,As new,1,1,Installed,0
apartment,199000.0,1,D,0,36,2,0,1,1,Installed,Gas
apartment,135000.0,0,C,0,35,2,Good,1,1,Installed,0
apartment,139000.0,3,C,0,47,0,Good,1,1,Not installed,0
apartment,139000.0,3,D,0,41,0,Good,1,1,Installed,0
apartment,135000.0,2,F,0,37,0,Good,1,1,Semi equipped,0
apartment,300000.0,4,NS,0,16,0,0,1,1,Installed,Gas
apartment,330000.0,2,E,0,32,0,0,2,1,Not installed,0
apartment,235000.0,1,B,0,26,0,Just renovated,1,1,0,Gas
apartment,230000.0,2,NS,0,16,0,0,1,1,Installed,Gas
apartment,470000.0,3,B,0,0,4,Good,1,1,Installed,Gas
apartment,135000.0,1,C,0,0,2,0,1,0,0,Electric
apartment,245000.0,2,NS,0,16,0,0,1,1,Installed,Gas
apartment,185000.0,2,B,0,36,4,0,1,1,Installed,Gas
apartment,210000.0,1,E,0,0,2,As new,1,0,0,0
apartment,270000.0,2,C,0,35,3,Good,1,1,0,0
apartment,285000.0,2,B,0,32,0,Good,1,1,0,0
apartment,215000.0,2,C,0,0,2,To be done up,1,0,0,Electric
apartment,155000.0,2,E,0,0,2,To renovate,1,0,0,0
apartment,245000.0,2,F,0,28,0,Just renovated,2,1,0,Gas
apartment,169000.0,1,G,0,22,0,Good,1,1,Semi equipped,Fuel oil
apartment,199000.0,1,G,0,0,2,0,1,0,0,Gas
apartment,223915.0,2,B,0,0,2,0,1,0,0,Gas
apartment,227135.0,2,B,0,0,2,0,2,0,0,Gas
apartment,236125.0,2,A,0,0,2,0,2,0,0,Gas
apartment,240000.0,2,B,0,44,0,Just renovated,1,1,0,Fuel oil
apartment,285000.0,2,A,0,47,0,Good,1,1,0,Gas
apartment,254000.0,2,A,0,37,0,Good,1,1,0,Gas
apartment,191.0,2,E,0,34,2,Good,1,1,Installed,Electric
apartment,299000.0,2,A,0,0,4,0,1,0,0,Solar
apartment,585000.0,8,D,0,0,0,Good,0,0,0,0
apartment,395000.0,3,B,0,41,4,As new,1,1,Hyper equipped,Gas
apartment,500000.0,3,A,0,0,0,Good,2,2,Installed,Gas
apartment,229530.0,2,A,0,0,2,0,1,0,0,Gas
apartment,282500.0,2,C,0,0,0,Good,2,1,Installed,0
apartment,372400.0,2,NS,0,33,3,0,1,0,0,0
apartment,389000.0,3,NS,0,45,0,0,1,2,0,0
apartment,220000.0,3,B,0,30,3,0,1,1,Semi equipped,Gas
apartment,375000.0,2,A,0,0,4,0,1,0,0,Solar
apartment,270000.0,2,NS,0,30,3,0,1,1,Installed,Gas
apartment,325000.0,2,NS,0,30,3,0,2,1,Installed,Gas
apartment,199000.0,2,D,0,30,3,0,1,1,Semi equipped,Gas
apartment,387000.0,3,NS,0,0,4,Good,2,0,0,0
apartment,210000.0,2,G,0,25,0,0,1,0,0,0
apartment,199000.0,1,D,0,20,0,Good,1,1,Semi equipped,Gas
apartment,299000.0,1,D,0,30,2,Good,1,1,Installed,Gas
apartment,299000.0,1,D,0,30,2,Good,1,1,Installed,Gas
apartment,453025.0,4,A,0,0,2,0,2,2,Hyper equipped,0
apartment,635000.0,3,NS,0,0,0,As new,2,0,USA hyper equipped,0
apartment,25.0,3,D,0,0,2,To be done up,1,1,Installed,Electric
apartment,419000.0,3,NS,0,61,2,As new,2,2,Hyper equipped,Gas
apartment,419000.0,3,NS,0,61,2,As new,2,2,Hyper equipped,Gas
apartment,295000.0,2,E,0,0,2,Good,0,0,0,Gas
apartment,419000.0,3,D,0,68,2,Good,2,1,USA installed,Gas
apartment,415000.0,2,C,0,32,3,Good,2,1,0,0
apartment,270000.0,2,D,0,28,0,0,1,1,Installed,0
apartment,189000.0,2,B,0,28,0,To renovate,1,1,Semi equipped,Gas
apartment,660000.0,4,NS,0,0,0,0,3,0,0,0
apartment,450000.0,2,D,0,0,3,As new,2,1,0,0
apartment,229000.0,1,B,0,0,2,Good,0,0,0,0
apartment,165000.0,2,C,0,26,0,To renovate,1,2,0,0
apartment,244000.0,2,A,0,0,2,Good,0,0,0,0
apartment,271500.0,2,B,0,0,2,Good,1,1,Installed,0
apartment,425000.0,2,D,0,55,2,0,1,2,USA hyper equipped,Electric
apartment,185000.0,3,D,0,0,3,To be done up,1,1,Installed,Gas
apartment,450000.0,2,B,0,40,0,Good,1,1,Installed,Gas
apartment,99000.0,1,E,0,0,2,To be done up,1,0,Semi equipped,Gas
apartment,345000.0,2,B,0,0,4,Good,1,1,Installed,Gas
apartment,360000.0,3,B,0,0,3,Good,0,1,Installed,Gas
apartment,235000.0,2,NS,0,0,1,0,0,1,Installed,Gas
apartment,279000.0,2,NS,0,0,1,0,0,1,Installed,Gas
apartment,165000.0,2,D,0,24,0,Good,1,1,0,Electric
apartment,280000.0,2,E,0,0,2,Good,1,1,Installed,Electric
apartment,495000.0,2,B,0,0,2,Good,2,2,0,Gas
apartment,595000.0,1,B,0,50,3,As new,1,1,Hyper equipped,Gas
apartment,248000.0,2,C,0,0,0,Good,0,0,0,0
apartment,175000.0,2,G,0,35,4,To renovate,1,1,Semi equipped,0
apartment,340000.0,2,NS,0,40,2,As new,3,1,USA hyper equipped,Gas
apartment,179000.0,1,B,0,0,0,Good,1,1,0,Gas
apartment,149000.0,2,B,0,0,0,0,1,1,0,Fuel oil
apartment,345100.0,3,NS,0,0,2,0,1,0,Hyper equipped,0
apartment,345100.0,3,NS,0,0,2,0,1,0,Hyper equipped,0
apartment,415000.0,3,C,0,0,0,Good,2,1,0,Electric
apartment,445000.0,2,D,0,40,2,0,1,1,0,Gas
apartment,290000.0,2,NS,0,0,4,0,1,0,0,Electric
apartment,297500.0,2,NS,0,0,2,0,1,0,Hyper equipped,0
apartment,145000.0,2,NS,0,0,0,As new,1,0,0,Fuel oil
apartment,269000.0,2,B,0,0,0,Good,1,1,0,Gas
apartment,124000.0,2,B,0,31,0,Good,1,1,0,Electric
apartment,379500.0,3,D,0,44,0,As new,2,1,USA hyper equipped,Gas
apartment,169000.0,2,C,0,0,2,To be done up,1,0,0,Gas
apartment,74000.0,2,NS,0,31,0,To renovate,1,1,0,Electric
apartment,239500.0,2,B,0,0,0,To be done up,1,1,0,Gas
apartment,350.0,3,G,0,0,2,As new,1,0,0,0
apartment,259000.0,1,B,0,34,0,As new,1,1,Installed,Gas
apartment,225000.0,2,E,0,28,2,Good,1,1,Installed,Fuel oil
apartment,249000.0,2,B,0,32,2,Good,1,1,Installed,Gas
apartment,239000.0,1,C,0,35,2,Good,1,1,Installed,Gas
apartment,289000.0,2,B,0,30,0,Good,1,1,0,Gas
apartment,475000.0,3,D,0,50,2,Good,2,2,0,Fuel oil
apartment,370000.0,2,E,0,36,0,To renovate,1,1,0,0
apartment,185500.0,2,B,0,35,2,As new,1,1,0,0
apartment,119000.0,2,C,0,25,2,To be done up,1,1,0,0
apartment,139000.0,2,C,0,30,2,Good,2,1,Installed,Gas
apartment,260000.0,3,B,0,0,2,As new,2,1,Hyper equipped,Gas
apartment,365000.0,2,A,0,22,0,0,1,1,Hyper equipped,0
apartment,352500.0,2,A,0,20,0,0,1,1,Hyper equipped,0
apartment,139000.0,1,B,0,0,2,Good,1,0,USA hyper equipped,Gas
apartment,30.0,3,C,0,55,3,Good,2,0,0,Gas
apartment,249900.0,2,D,0,0,0,Good,1,0,Hyper equipped,Gas
apartment,279000.0,2,A,0,0,2,As new,1,0,Hyper equipped,Gas
apartment,850.0,1,D,0,35,2,As new,1,1,USA hyper equipped,Gas
apartment,260000.0,2,C,0,36,3,To renovate,1,1,Not installed,Gas
apartment,900.0,1,D,0,35,2,As new,1,1,Hyper equipped,Wood
apartment,169000.0,2,G,0,0,3,To renovate,0,1,Not installed,Gas
apartment,219000.0,2,B,0,35,2,Good,1,1,Installed,Gas
apartment,294000.0,2,B,0,0,2,As new,1,0,0,0
apartment,304000.0,2,B,0,0,2,As new,1,0,0,0
apartment,30000.0,1,B,0,0,2,As new,2,1,USA hyper equipped,Gas
apartment,525000.0,2,B,0,0,2,Good,2,2,Hyper equipped,Gas
apartment,250000.0,1,C,0,0,2,Good,1,1,Hyper equipped,Electric
apartment,250000.0,1,G,0,29,0,To be done up,1,1,Semi equipped,Fuel oil
apartment,220000.0,2,B,0,22,2,Good,2,1,USA hyper equipped,Gas
apartment,379000.0,2,NS,0,0,2,Just renovated,1,0,Hyper equipped,Gas
apartment,374000.0,3,B,0,0,0,Good,1,0,Installed,0
apartment,300000.0,1,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,585000.0,2,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,410000.0,1,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,565000.0,2,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,385000.0,1,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,340000.0,1,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,495000.0,2,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,480000.0,2,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,295000.0,1,NS,0,0,4,0,1,1,USA hyper equipped,0
apartment,495000.0,2,B,0,35,2,As new,2,2,USA hyper equipped,Gas
apartment,299000.0,2,NS,0,40,0,As new,2,0,Hyper equipped,0
apartment,245000.0,3,C,0,35,2,To renovate,3,2,0,Gas
apartment,525000.0,2,NS,0,45,2,To be done up,1,1,Installed,Gas
apartment,575000.0,2,C,0,0,2,0,1,0,0,0
apartment,395000.0,2,D,0,28,2,As new,1,1,Installed,Gas
apartment,262730.0,1,NS,0,0,4,0,2,1,Hyper equipped,0
apartment,475000.0,2,B,0,0,2,As new,1,1,USA hyper equipped,0
apartment,318000.0,1,B,0,0,2,As new,2,1,Hyper equipped,0
apartment,280000.0,2,B,0,35,2,Good,1,0,Hyper equipped,0
apartment,357000.0,2,G,0,36,0,Good,1,1,Hyper equipped,Gas
apartment,240000.0,1,E,0,29,0,Good,1,1,Hyper equipped,Gas
apartment,30000.0,2,NS,0,32,0,0,1,1,Semi equipped,Electric
apartment,350000.0,1,F,0,0,0,As new,2,1,USA hyper equipped,0
apartment,380000.0,1,G,0,0,0,As new,2,1,USA hyper equipped,Fuel oil
apartment,385000.0,1,G,0,0,0,As new,3,1,USA hyper equipped,0
apartment,249000.0,3,F,0,25,2,0,1,1,Installed,Gas
apartment,239000.0,1,F,0,35,2,Good,1,1,0,Gas
apartment,379500.0,3,D,0,44,0,As new,2,1,USA hyper equipped,Gas
apartment,229000.0,2,B,0,0,0,Good,1,1,Installed,Gas
apartment,284000.0,2,D,0,39,0,Good,1,1,Installed,Gas
apartment,179000.0,2,B,0,32,0,Good,1,1,Installed,Gas
apartment,545000.0,2,G,0,55,2,Just renovated,1,2,USA hyper equipped,Fuel oil
apartment,545000.0,2,G,0,55,2,Just renovated,1,2,USA hyper equipped,Fuel oil
apartment,155000.0,2,D,0,21,3,As new,1,1,Installed,Gas
apartment,115000.0,1,B,0,0,2,To renovate,1,1,Not installed,Gas
apartment,299000.0,2,E,0,0,2,Good,1,0,0,0
apartment,237000.0,2,B,0,0,2,As new,1,1,Hyper equipped,Gas
apartment,285000.0,1,NS,0,28,0,0,1,1,Installed,0
apartment,325000.0,2,NS,0,35,0,0,1,1,Installed,0
apartment,399000.0,2,NS,0,0,0,As new,1,0,0,Gas
apartment,245000.0,2,NS,0,0,0,As new,1,0,0,Gas
apartment,240000.0,2,NS,0,0,0,As new,1,0,0,Gas
apartment,269000.0,2,NS,0,0,0,As new,1,0,0,Gas
apartment,235000.0,2,NS,0,0,0,As new,1,0,0,Gas
apartment,279000.0,3,C,0,0,0,Just renovated,1,0,0,0
apartment,280000.0,2,D,0,0,2,To renovate,1,1,Semi equipped,Gas
apartment,199000.0,2,C,0,33,2,Good,1,1,Hyper equipped,Gas
apartment,270000.0,2,B,0,0,0,Good,1,1,Installed,Gas
apartment,239000.0,2,F,0,20,3,As new,1,2,USA hyper equipped,Gas
apartment,295000.0,3,C,0,22,2,Good,1,1,Hyper equipped,Gas
apartment,479000.0,2,D,0,45,3,Good,1,2,Installed,0
apartment,199000.0,1,D,0,13,2,To be done up,2,1,Semi equipped,Gas
apartment,375000.0,3,E,0,42,3,To renovate,1,1,Not installed,Fuel oil
apartment,525000.0,3,D,0,44,2,As new,4,3,Hyper equipped,Gas
apartment,250000.0,1,F,0,33,2,As new,1,1,Hyper equipped,0
apartment,218000.0,2,B,0,26,0,0,1,1,0,Gas
apartment,335000.0,1,E,0,0,4,To be done up,1,0,Installed,Electric
apartment,239000.0,1,C,0,0,0,0,1,1,Installed,0
apartment,309000.0,2,C,0,0,0,0,1,2,Installed,0
apartment,280000.0,2,A,0,0,0,0,0,0,0,0
apartment,295000.0,2,A,0,0,0,0,0,0,0,0
apartment,300000.0,2,A,0,0,0,0,0,0,0,0
apartment,445000.0,2,A,0,0,0,0,0,0,0,0
apartment,417000.0,2,A,0,0,0,0,0,0,0,0
apartment,250000.0,2,A,0,0,0,0,0,0,0,0
apartment,340000.0,4,A,0,0,0,0,0,0,0,0
apartment,375000.0,2,B,0,0,0,Just renovated,1,1,0,Gas
apartment,415000.0,2,B,0,0,0,Just renovated,1,1,0,Gas
apartment,315000.0,2,B,0,0,0,Just renovated,2,1,0,Gas
apartment,189000.0,1,C,0,0,0,As new,1,0,0,0
apartment,239000.0,3,C,0,0,0,To be done up,0,0,0,0
apartment,275000.0,2,D,0,0,0,0,1,1,0,0
apartment,155000.0,1,C,0,25,0,0,1,0,0,Gas
apartment,449000.0,2,C,0,0,0,As new,1,1,0,0
apartment,229000.0,2,B,0,0,0,As new,1,0,Installed,Fuel oil
apartment,285000.0,3,D,0,18,0,0,1,0,0,0
apartment,176000.0,2,B,0,28,0,0,1,0,0,0
apartment,225000.0,2,E,0,0,0,As new,1,1,USA installed,Electric
apartment,231650.0,1,NS,0,0,0,0,1,1,0,0
apartment,270000.0,2,B,0,0,0,0,0,0,0,0
apartment,345000.0,1,D,0,35,0,0,1,0,Installed,0
apartment,207000.0,3,D,0,0,0,To renovate,2,2,0,0
apartment,195000.0,2,E,0,0,0,0,1,1,Installed,Gas
apartment,195000.0,2,F,0,0,0,0,1,1,Installed,Gas
apartment,199000.0,2,F,0,0,0,0,1,1,Hyper equipped,Gas
apartment,385000.0,2,NS,0,0,3,0,2,0,USA installed,Gas
apartment,177.0,2,C,0,0,0,Good,1,1,0,0
apartment,177.0,2,B,0,0,0,Good,1,1,0,0
apartment,160000.0,2,B,0,0,0,0,1,1,Installed,0
apartment,225000.0,4,G,0,0,3,To renovate,0,1,Not installed,Gas
apartment,159000.0,2,G,0,0,3,To renovate,0,1,Not installed,Gas
apartment,338000.0,2,B,0,0,2,As new,1,2,Installed,Gas
apartment,287000.0,3,NS,0,0,0,0,1,1,USA installed,Gas
apartment,368572.0,2,NS,0,0,0,0,0,0,0,0
apartment,305000.0,2,A,0,28,0,0,1,1,Hyper equipped,0
apartment,250000.0,1,A,0,0,4,Good,1,0,Hyper equipped,Gas
apartment,525000.0,3,A,0,0,0,0,2,2,Installed,Gas
apartment,195000.0,2,B,0,28,0,As new,1,0,Installed,Gas
apartment,195000.0,2,B,0,28,0,As new,1,0,Installed,Gas
apartment,185000.0,2,B,0,28,0,As new,1,0,Installed,Gas
apartment,185000.0,2,B,0,28,0,As new,1,0,Installed,Gas
apartment,375000.0,2,F,0,0,0,0,1,1,0,Electric
apartment,298000.0,2,B,0,0,0,0,1,0,0,0
apartment,550000.0,3,F,0,0,0,0,2,2,0,0
apartment,345000.0,2,NS,0,19,0,0,1,1,Installed,0
apartment,359000.0,2,NS,0,18,0,0,1,1,Installed,0
apartment,379000.0,2,NS,0,26,0,0,1,1,Installed,0
apartment,363000.0,2,NS,0,18,0,0,1,1,Installed,0
apartment,298000.0,1,NS,0,23,0,0,1,1,Installed,0
apartment,339000.0,2,NS,0,13,0,0,1,1,Installed,0
apartment,405500.0,2,NS,0,12,4,0,1,1,Installed,0
apartment,365000.0,3,A,0,31,0,0,3,1,Hyper equipped,0
apartment,320000.0,2,A,0,34,0,0,1,1,Hyper equipped,0
apartment,325000.0,2,A,0,36,0,0,1,1,Hyper equipped,0
apartment,280000.0,2,A,0,24,0,0,1,0,Hyper equipped,0
apartment,265000.0,1,A,0,15,0,0,1,0,Hyper equipped,0
apartment,400000.0,3,A,0,38,0,0,2,1,Hyper equipped,0
apartment,320000.0,2,A,0,35,0,0,1,1,Hyper equipped,0
apartment,330000.0,2,A,0,32,0,0,1,0,Hyper equipped,0
apartment,299000.0,2,NS,0,0,0,0,1,1,Hyper equipped,Electric
apartment,365000.0,2,NS,0,0,0,As new,0,0,Installed,0
apartment,312000.0,1,NS,0,0,0,As new,0,0,Installed,0
apartment,437500.0,3,NS,0,0,0,As new,0,0,Installed,0
apartment,375000.0,2,NS,0,0,0,As new,0,0,Installed,0
apartment,370000.0,2,NS,0,0,0,As new,0,0,Installed,0
apartment,258000.0,2,A,0,0,0,0,0,0,0,Gas
apartment,248000.0,2,A,0,0,0,0,0,0,0,Gas
apartment,295000.0,2,A,0,30,3,0,1,1,0,0
apartment,235000.0,2,A,0,32,2,As new,1,1,0,Gas
apartment,185000.0,2,C,0,0,0,As new,1,1,0,Gas
apartment,285000.0,3,A,0,0,0,As new,1,2,0,0
apartment,229000.0,2,F,0,0,2,Good,1,1,Installed,0
apartment,249000.0,1,NS,0,31,2,As new,1,1,Installed,Gas
apartment,323935.0,3,A,0,22,2,As new,1,1,Installed,Gas
apartment,253895.0,2,NS,0,25,2,As new,1,1,Installed,Gas
apartment,308485.0,3,NS,0,27,2,As new,1,1,Installed,Gas
apartment,110000.0,1,C,0,10,0,As new,1,0,0,0
apartment,249000.0,3,D,0,0,0,To renovate,1,0,0,0
apartment,329000.0,2,A,0,25,2,Good,2,1,Semi equipped,Gas
apartment,269000.0,2,A,0,0,3,Good,1,1,Semi equipped,Gas
apartment,345000.0,2,B,0,0,2,Good,1,0,Installed,Gas
apartment,159000.0,1,C,0,0,2,To be done up,1,1,Semi equipped,0
apartment,219000.0,2,C,0,40,0,As new,1,1,Installed,Gas
apartment,299000.0,2,A,0,28,3,0,1,1,Installed,Gas
apartment,295000.0,2,B,0,30,2,Good,1,1,Installed,0
apartment,539000.0,8,NS,0,0,2,Good,4,4,0,Gas
apartment,185000.0,1,D,0,27,2,Good,1,1,Installed,0
apartment,155000.0,1,D,0,0,2,Good,1,1,Installed,Electric
apartment,207000.0,1,C,0,27,3,Good,0,0,0,0
apartment,82900.0,1,D,0,0,2,Good,1,1,Installed,Electric
apartment,499000.0,2,F,0,0,2,0,1,1,0,0
apartment,477500.0,3,E,0,0,0,As new,1,2,Not installed,0
apartment,379000.0,2,D,0,30,2,As new,2,2,USA installed,Gas
apartment,299000.0,3,G,0,30,2,0,1,1,0,Fuel oil
apartment,319000.0,2,D,0,30,2,0,1,2,USA installed,Gas
apartment,225000.0,2,D,0,0,2,0,1,1,Semi equipped,Gas
apartment,145000.0,1,B,0,0,0,0,1,1,0,Gas
apartment,320000.0,3,B,0,25,0,As new,1,3,Installed,Gas
apartment,322000.0,1,NS,0,0,0,Good,1,1,0,0
apartment,155000.0,2,D,0,0,0,To be done up,1,1,0,Gas
apartment,289000.0,2,B,0,36,0,Good,1,1,0,Gas
apartment,490000.0,2,B,0,0,0,As new,1,1,Installed,Gas
apartment,175000.0,1,A,0,0,0,Good,1,1,Installed,Gas
apartment,269000.0,3,D,0,0,2,Good,1,1,Installed,Electric
apartment,20.0,2,B,0,27,2,Good,1,1,Semi equipped,Gas
apartment,199000.0,2,C,0,22,0,Good,1,1,0,0
apartment,139000.0,2,B,0,0,0,To renovate,1,1,0,Gas
apartment,199000.0,1,NS,0,0,3,As new,1,1,Installed,0
apartment,299000.0,2,F,0,0,0,To be done up,0,2,0,0
apartment,7.0,2,B,0,0,0,Good,1,1,0,Gas
apartment,170000.0,2,NS,0,0,0,As new,1,0,0,Gas
apartment,159000.0,1,C,0,0,0,0,1,0,0,0
apartment,250000.0,2,G,0,30,2,Good,2,1,Installed,Gas
apartment,450552.0,3,NS,0,0,4,0,4,2,Hyper equipped,0
apartment,129000.0,2,F,0,0,3,Good,0,0,0,0
apartment,199500.0,2,B,0,30,0,0,1,1,Not installed,0
apartment,255000.0,2,G,0,31,2,0,1,1,Semi equipped,Fuel oil
apartment,99000.0,2,C,0,0,3,Good,1,1,Not installed,Gas
apartment,595000.0,3,E,0,21,2,As new,5,2,USA hyper equipped,Gas
apartment,187500.0,1,B,0,0,0,Good,1,1,0,Electric
apartment,160000.0,2,C,0,31,0,Good,1,1,0,Fuel oil
apartment,245000.0,1,NS,0,0,0,To renovate,0,0,Installed,Gas
apartment,305000.0,2,D,0,0,2,To be done up,2,1,Semi equipped,Gas
apartment,175000.0,2,B,0,30,0,Just renovated,1,1,0,Gas
apartment,177000.0,1,G,0,22,4,0,1,1,0,0
apartment,397500.0,2,B,0,0,2,As new,1,2,Hyper equipped,Gas
apartment,139000.0,2,C,0,18,0,Good,1,1,0,Gas
apartment,314500.0,2,NS,0,0,3,0,1,0,0,0
apartment,220000.0,2,D,0,27,2,Good,4,1,USA installed,Gas
apartment,149000.0,2,F,0,28,2,0,1,1,Installed,Fuel oil
apartment,215000.0,2,B,0,0,2,Good,1,1,Semi equipped,Gas
